[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=10s target=15k/s gen=48,075 (4808/s) emit=48,075 (4808/s) drop=0 (0.0%) q=0
[Source-3] t=19s target=15k/s gen=85,575 (4078/s) emit=85,575 (4078/s) drop=0 (0.0%) q=0
[Source-3] t=29s target=15k/s gen=123,075 (3750/s) emit=123,075 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=39s target=15k/s gen=146,625 (2353/s) emit=146,625 (2353/s) drop=0 (0.0%) q=0
[Source-3] t=49s target=15k/s gen=184,125 (3750/s) emit=184,125 (3750/s) drop=0 (0.0%) q=0
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=58s target=15k/s gen=192,000 (856/s) emit=192,000 (856/s) drop=0 (0.0%) q=0
[Source-3] t=10s target=15k/s gen=26,175 (2618/s) emit=26,175 (2618/s) drop=0 (0.0%) q=0
[Source-3] t=20s target=15k/s gen=63,675 (3750/s) emit=63,675 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=30s target=15k/s gen=99,300 (3562/s) emit=99,300 (3562/s) drop=0 (0.0%) q=0
[Source-3] t=41s target=15k/s gen=139,275 (3614/s) emit=139,275 (3614/s) drop=0 (0.0%) q=0
[Source-3] t=51s target=15k/s gen=176,775 (3750/s) emit=176,775 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=61s target=15k/s gen=214,275 (3750/s) emit=214,275 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=70s target=15k/s gen=251,775 (4085/s) emit=251,775 (4085/s) drop=0 (0.0%) q=0
[Source-3] t=80s target=15k/s gen=289,125 (3735/s) emit=289,125 (3735/s) drop=0 (0.0%) q=0
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
