[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=10s target=15k/s gen=48,600 (4860/s) emit=48,600 (4860/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=86,100 (3750/s) emit=86,100 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=31s target=15k/s gen=123,600 (3550/s) emit=123,600 (3550/s) drop=0 (0.0%) q=0
[Source-2] t=41s target=15k/s gen=161,100 (3750/s) emit=161,100 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=51s target=15k/s gen=198,600 (3750/s) emit=198,600 (3750/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=61s target=15k/s gen=225,975 (2737/s) emit=225,975 (2737/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=48,150 (4815/s) emit=48,150 (4815/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=85,650 (3750/s) emit=85,650 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=30s target=15k/s gen=123,150 (3750/s) emit=123,150 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=40s target=15k/s gen=160,650 (3750/s) emit=160,650 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=50s target=15k/s gen=198,150 (3750/s) emit=198,150 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=60s target=15k/s gen=235,650 (3750/s) emit=235,650 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=70s target=15k/s gen=273,150 (3750/s) emit=273,150 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=80s target=15k/s gen=310,650 (3750/s) emit=310,650 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=90s target=15k/s gen=348,150 (3750/s) emit=348,150 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=100s target=90k/s gen=397,275 (4912/s) emit=397,275 (4912/s) drop=0 (0.0%) q=0
[Source-2] t=110s target=90k/s gen=622,275 (22498/s) emit=565,517 (16823/s) drop=11,758 (1.9%) q=44999
[Source-2] t=120s target=90k/s gen=847,275 (22500/s) emit=675,646 (11013/s) drop=126,914 (15.0%) q=44714
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=130s target=90k/s gen=899,475 (5220/s) emit=701,853 (2621/s) drop=152,621 (17.0%) q=45000
[Source-2] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=30s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=40s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=50s target=15k/s gen=198,825 (3750/s) emit=198,825 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=60s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=70s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=80s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=90s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=100s target=90k/s gen=396,075 (4725/s) emit=396,075 (4725/s) drop=0 (0.0%) q=0
[Source-2] t=110s target=90k/s gen=621,075 (22500/s) emit=621,075 (22500/s) drop=0 (0.0%) q=0
[Source-2] t=120s target=90k/s gen=846,075 (22500/s) emit=804,485 (18341/s) drop=0 (0.0%) q=41589
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=130s target=90k/s gen=897,375 (5129/s) emit=846,410 (4192/s) drop=11,198 (1.2%) q=39766
[Source-2] t=10s target=15k/s gen=49,050 (4905/s) emit=49,050 (4905/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=86,550 (3750/s) emit=86,550 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=31s target=15k/s gen=124,050 (3563/s) emit=124,050 (3563/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=41s target=15k/s gen=149,625 (2557/s) emit=149,625 (2557/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=86,325 (3758/s) emit=86,325 (3758/s) drop=0 (0.0%) q=0
[Source-2] t=31s target=15k/s gen=123,825 (3283/s) emit=123,825 (3283/s) drop=0 (0.0%) q=0
[Source-2] t=41s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
